"","date","Team","Opponent","Player","#","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG","npxG","xAG","SCA","GCA","Cmp","Att","Cmp%","PrgP","Carries","PrgC","Att","Succ"
"1","July-22-2023","United States","Vietnam","Alex Morgan","13","FW","34-020","62","0","1","0","1","4","0","0","0","22","0","1","2","1.6","0.8","0.8","6","1","11","13","84.6","2","8","0","1","0"
"2","July-22-2023","United States","Vietnam","Megan Rapinoe","15","LW","38-017","28","0","0","0","0","3","0","0","0","32","0","1","2","0.9","0.9","0.2","2","0","15","23","65.2","0","18","0","2","0"
"3","July-22-2023","United States","Vietnam","Sophia Smith","11","LW,FW","22-346","90","2","1","0","0","5","2","0","0","48","2","0","2","0.8","0.8","0.4","4","1","13","25","52.0","2","32","3","10","6"
"4","July-22-2023","United States","Vietnam","Trinity Rodman","20","RW","21-063","74","0","0","0","0","0","0","0","0","39","2","1","2","0.0","0.0","0.4","4","0","13","20","65.0","0","22","4","3","2"
"5","July-22-2023","United States","Vietnam","Alyssa Thompson","7","RW","18-257","16","0","0","0","0","0","0","0","0","9","0","0","0","0.0","0.0","0.0","1","0","4","6","66.7","1","6","1","1","1"
"6","July-22-2023","United States","Vietnam","Lindsey Horan","10","LM","29-057","90","1","0","0","0","5","1","1","0","89","1","5","1","0.5","0.5","0.4","5","1","46","64","71.9","13","54","2","12","7"
"7","July-22-2023","United States","Vietnam","Andi Sullivan","17","CM","27-214","90","0","0","0","0","1","0","0","0","58","2","2","1","0.0","0.0","0.1","5","1","32","50","64.0","5","19","0","2","2"
"8","July-22-2023","United States","Vietnam","Savannah Demelo","9","RM","25-118","62","0","0","0","0","2","1","0","0","29","4","0","2","0.3","0.3","0.3","2","0","14","19","73.7","5","15","1","2","1"
"9","July-22-2023","United States","Vietnam","Rose Lavelle","16","RM","28-069","28","0","0","0","0","1","1","0","0","23","0","0","0","0.1","0.1","0.7","3","0","15","20","75.0","4","11","1","2","2"
"10","July-22-2023","United States","Vietnam","Crystal Dunn","19","LB","31-019","83","0","0","0","0","0","0","0","0","55","2","1","2","0.0","0.0","0.0","1","0","37","45","82.2","5","24","2","0","0"
"11","July-22-2023","United States","Vietnam","Kelley O'Hara","5","LB","34-352","7","0","0","0","0","0","0","0","0","17","0","0","1","0.0","0.0","0.0","0","0","12","16","75.0","5","8","1","0","0"
"12","July-22-2023","United States","Vietnam","Naomi Girma","4","CB","23-038","90","0","0","0","0","0","0","0","0","86","1","0","0","0.0","0.0","0.0","3","0","75","83","90.4","10","70","1","1","1"
"13","July-22-2023","United States","Vietnam","Julie Ertz","8","CB","31-107","90","0","0","0","0","4","1","0","0","90","0","0","0","0.3","0.3","0.0","4","1","67","83","80.7","17","63","8","1","1"
